frame_index,cpu_eager_bs1_state,cpu_eager_bs1_row_count,cpu_optimized_bs1_state,cpu_optimized_bs1_row_count,cuda_eager_bs1_state,cuda_eager_bs1_row_count,cuda_eager_bs32_state,cuda_eager_bs32_row_count,cuda_no_tf32_eager_bs1_state,cuda_no_tf32_eager_bs1_row_count,cuda_no_tf32_eager_bs32_state,cuda_no_tf32_eager_bs32_row_count,cpu_eager_bs1__cpu_optimized_bs1_max_probability_abs_diff,cpu_eager_bs1__cuda_eager_bs1_max_probability_abs_diff,cuda_eager_bs1__cuda_eager_bs32_max_probability_abs_diff,cpu_optimized_bs1__cuda_eager_bs32_max_probability_abs_diff,cpu_eager_bs1__cuda_no_tf32_eager_bs1_max_probability_abs_diff,cuda_eager_bs1__cuda_no_tf32_eager_bs1_max_probability_abs_diff,cpu_eager_bs1__cuda_no_tf32_eager_bs32_max_probability_abs_diff,cuda_no_tf32_eager_bs1__cuda_no_tf32_eager_bs32_max_probability_abs_diff,cpu_optimized_bs1__cuda_no_tf32_eager_bs32_max_probability_abs_diff,cuda_eager_bs32__cuda_no_tf32_eager_bs32_max_probability_abs_diff
39,valid,2,valid,2,valid,2,degraded,2,valid,2,valid,2,4.202127456665039e-06,0.0049329400062561035,0.005047619342803955,0.002811342477798462,5.5730342864990234e-06,0.004932701587677002,1.3500452041625977e-05,1.8090009689331055e-05,1.6242265701293945e-05,0.002803504467010498
40,valid,2,valid,2,valid,2,degraded,2,valid,2,valid,2,5.543231964111328e-06,0.0045230090618133545,0.0052073001861572266,0.002604931592941284,6.705522537231445e-06,0.00452151894569397,8.195638656616211e-06,1.004338264465332e-05,9.626150131225586e-06,0.002600938081741333
41,valid,2,valid,2,valid,2,degraded,2,valid,2,valid,2,5.632638931274414e-06,0.002743452787399292,0.004395604133605957,0.003992289304733276,6.020069122314453e-06,0.002743750810623169,1.609325408935547e-05,2.0056962966918945e-05,1.3977289199829102e-05,0.0039871931076049805
42,valid,2,valid,2,valid,2,degraded,2,valid,2,valid,2,2.8312206268310547e-06,0.003403186798095703,0.00561833381652832,0.003789573907852173,6.16908073425293e-06,0.0034003853797912598,9.775161743164062e-06,1.385807991027832e-05,1.0907649993896484e-05,0.003794759511947632
43,valid,2,valid,2,degraded,2,degraded,2,valid,2,valid,2,4.708766937255859e-06,0.0032520294189453125,0.00538712739944458,0.0028619468212127686,5.781650543212891e-06,0.003252387046813965,1.2099742889404297e-05,1.043081283569336e-05,1.1980533599853516e-05,0.002872973680496216
44,valid,2,valid,2,degraded,2,degraded,2,valid,2,valid,2,3.0994415283203125e-06,0.003887474536895752,0.004903733730316162,0.0035805106163024902,4.5299530029296875e-06,0.0038889646530151367,1.1324882507324219e-05,9.357929229736328e-06,1.0818243026733398e-05,0.003581821918487549
45,valid,3,valid,3,degraded,3,degraded,3,valid,3,valid,3,8.52346420288086e-06,0.004045814275741577,0.0034089088439941406,0.002324134111404419,9.08970832824707e-06,0.004045367240905762,1.4692544937133789e-05,6.556510925292969e-06,9.685754776000977e-06,0.002318054437637329
46,valid,3,valid,3,valid,3,degraded,3,valid,3,valid,3,6.467103958129883e-06,0.005315989255905151,0.0044383704662323,0.0026159584522247314,4.887580871582031e-06,0.005312740802764893,9.775161743164062e-06,1.055002212524414e-05,1.138448715209961e-05,0.002623826265335083
47,valid,3,valid,3,valid,3,valid,3,valid,3,valid,3,4.410743713378906e-06,0.004221975803375244,0.0062541663646698,0.003848940134048462,3.993511199951172e-06,0.004222095012664795,8.970499038696289e-06,1.0371208190917969e-05,1.0520219802856445e-05,0.003848522901535034
48,valid,2,valid,2,valid,2,degraded,2,valid,2,valid,2,4.5299530029296875e-06,0.003366798162460327,0.005018830299377441,0.002611398696899414,4.023313522338867e-06,0.0033673644065856934,9.566545486450195e-06,9.655952453613281e-06,1.1146068572998047e-05,0.0026036500930786133
49,valid,3,valid,3,valid,3,degraded,3,valid,3,valid,3,7.539987564086914e-06,0.004878580570220947,0.006170213222503662,0.002421259880065918,6.0498714447021484e-06,0.004875123500823975,7.927417755126953e-06,6.496906280517578e-06,8.52346420288086e-06,0.002421081066131592
50,valid,2,valid,2,valid,2,degraded,2,valid,2,valid,2,3.337860107421875e-06,0.005926370620727539,0.007550299167633057,0.00354611873626709,5.9604644775390625e-06,0.005929768085479736,1.0699033737182617e-05,9.357929229736328e-06,1.1295080184936523e-05,0.0035485029220581055
51,degraded,1,degraded,1,degraded,1,valid,1,degraded,1,degraded,1,3.039836883544922e-06,0.005449086427688599,0.005067706108093262,0.0025925040245056152,4.202127456665039e-06,0.005450397729873657,1.2934207916259766e-05,1.33514404296875e-05,1.4275312423706055e-05,0.0025997161865234375
52,degraded,2,degraded,2,degraded,2,valid,2,degraded,2,degraded,2,3.874301910400391e-06,0.004167616367340088,0.004350751638412476,0.002667665481567383,4.082918167114258e-06,0.004164338111877441,6.765127182006836e-06,6.079673767089844e-06,7.450580596923828e-06,0.0026612281799316406
53,degraded,3,degraded,3,degraded,3,valid,3,degraded,3,degraded,3,3.248453140258789e-06,0.004269033670425415,0.003951311111450195,0.002673417329788208,6.884336471557617e-06,0.004275768995285034,9.357929229736328e-06,9.208917617797852e-06,1.0073184967041016e-05,0.0026782453060150146
54,degraded,2,degraded,2,degraded,2,valid,2,degraded,2,degraded,2,5.21540641784668e-06,0.0038256049156188965,0.003949970006942749,0.003123760223388672,5.930662155151367e-06,0.0038268864154815674,9.179115295410156e-06,9.5367431640625e-06,8.64267349243164e-06,0.0031167566776275635
55,degraded,4,degraded,4,degraded,4,valid,4,degraded,4,degraded,4,4.738569259643555e-06,0.0038586854934692383,0.005316793918609619,0.0037540793418884277,5.7220458984375e-06,0.0038552582263946533,1.4454126358032227e-05,1.6689300537109375e-05,1.5914440155029297e-05,0.003769993782043457
56,valid,3,valid,3,valid,3,valid,3,valid,3,valid,3,3.516674041748047e-06,0.003872007131576538,0.004685759544372559,0.0033587217330932617,3.337860107421875e-06,0.003872007131576538,1.0132789611816406e-05,9.387731552124023e-06,1.0013580322265625e-05,0.003352612257003784
57,valid,3,valid,3,valid,3,valid,3,valid,3,valid,3,3.904104232788086e-06,0.00555342435836792,0.00793766975402832,0.0031644105911254883,3.933906555175781e-06,0.005554676055908203,8.07642936706543e-06,9.417533874511719e-06,9.03010368347168e-06,0.0031579136848449707
58,valid,3,valid,3,valid,3,valid,3,valid,3,valid,3,5.602836608886719e-06,0.003789454698562622,0.003600180149078369,0.0027394890785217285,5.3942203521728516e-06,0.003788888454437256,7.569789886474609e-06,8.821487426757812e-06,7.3015689849853516e-06,0.002734065055847168
59,valid,2,valid,2,valid,2,valid,2,valid,2,valid,2,4.649162292480469e-06,0.003454864025115967,0.004120498895645142,0.002811431884765625,4.0531158447265625e-06,0.003453582525253296,1.138448715209961e-05,1.1205673217773438e-05,1.0192394256591797e-05,0.0028074979782104492
60,valid,3,valid,3,valid,3,valid,3,valid,3,valid,3,4.5299530029296875e-06,0.004133075475692749,0.0034936070442199707,0.003497987985610962,7.3909759521484375e-06,0.004134029150009155,9.5367431640625e-06,1.1146068572998047e-05,1.043081283569336e-05,0.003506392240524292
61,valid,3,valid,3,valid,3,valid,3,valid,3,valid,3,5.27501106262207e-06,0.0050016045570373535,0.004273951053619385,0.001750946044921875,6.198883056640625e-06,0.0049991607666015625,8.344650268554688e-06,7.092952728271484e-06,9.566545486450195e-06,0.0017533302307128906
62,valid,3,valid,3,valid,3,valid,3,valid,3,valid,3,5.692243576049805e-06,0.0030826926231384277,0.0044023096561431885,0.0031264424324035645,6.556510925292969e-06,0.003083169460296631,1.1265277862548828e-05,8.493661880493164e-06,8.434057235717773e-06,0.0031285881996154785
63,valid,2,valid,2,valid,2,valid,2,valid,2,valid,2,4.887580871582031e-06,0.003443300724029541,0.0035299360752105713,0.0023310184478759766,3.6954879760742188e-06,0.003441721200942993,1.2636184692382812e-05,1.049041748046875e-05,1.0728836059570312e-05,0.0023207366466522217
64,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,degraded,2,5.5730342864990234e-06,0.0035255849361419678,0.004012018442153931,0.0030587613582611084,5.8710575103759766e-06,0.003520071506500244,1.3470649719238281e-05,1.138448715209961e-05,1.0341405868530273e-05,0.003056824207305908
